Manx,English
Thalloo ny hAlbey: Quoi S'lesh Eh?,
,
,The SNP plans to break up large estates in Scotland and calls for the setting up of a new Scottish Land commission. The party seeks to halt the exploitation of huge Scottish estates by both native and foreign individuals but stops short of advocating land nationalisation. It is difficult to see how the Celts can prevent the complete rape of their territories without nationalisation of land.
"Ta Sheshaght Ashoonagh ny hAlbey er screeu skeeal mooar as scanshoil mychione thalloo ny hAlbey. Ta'n SNP ayns foayr jeh brishey seose ny steatyn-thallooin mooarey as cur er bun commishoon-thallooin noa veagh genmyssey steatyn nagh vel goll er stiurey dy mie. Veagh shellooderyn meerioosagh eginit nyn steatyn y chreck da'n chommishoon liorish keeshyn trome, er nonney nyn steatyn y hoie da eirinee-maillee.",
"Veagh shellooderyn joarree ceaut magh marish colughtyn ta coontey yn thalloo y ve ny ynesteeaght shickyr (safe investment). Ta shellooderyn ennagh cosney argid mooar trooid shelg, spoyrt-gunn as yeeastagh er nyn dhalloo. Va'n theay boght va cummal er y thalloo ceaut magh ymmodee bleeantyn er dy henney. Son shickyrys, va scughey magh yn phobble veih cheer Ghaelgagh ny hAlbey nane jeh ny reddyn smoo scammyltagh ren rieau taghyrt ayns ny hellanyn shoh.",
"Rere skeeal yn SNP mychione yn thalloo, cha beagh agh sheshaghtyn Albinagh lowit dy stiurey steatyn-thallooin mooarey. Ayns lheid ny sheshaght, veagh kiare feed ass keead jeh ny shellooderyn-rheynn nyn Albinee, er y chooid sloo. As veagh ad eginit kiare feed punt ass keead punt (er y chooid sloo) y chosney veih'n eirinys. Ta'n SNP geearree yn earroo dy vuill-eirinagh ta lesh lught-thie y vooadaghey. By vie lhieu tooilley kiartaghyn feeu y chroo er y thalloo. Dy jarroo, ta'n SNP geearree yn pooar y ghoaill veih’n phossan beg dy gheiney ta stiurey steatyn feer vooar ec y traa t'ayn. My vees bree ayns ny treealtyssyn shoh, cha bee sleih lowit thalloo y hymney tra t'ad geddyn baase. Veagh er ny sheckteryn yn thalloo y chreck da'n chommishoon.",
"Veagh yn SNP shirrey buill-eirinagh y reayll beg dy liooar. Ec y traa t'ayn, ta buill-eirinagh foast cheet dy ve ny smoo as ny smoo as ta sleih foast treigeil yn thalloo nagh vel goit ec chiarnyn-thallooin, colughtyn as joarreeyn.",
"Hannah, ta skeealyn ayns pabyryn-naight dy vel sleih ayns Cheer Vooar ny h-Europey goaill aggle roish treealtyssyn yn SNP as dy vel Hollannee ennagh er ve agglit ass. Feer vie! Ta Hollannee, Elveyshee (Swiss) as Giarmaanee er ve kionnaghey thalloo Albinagh cour spoyrt as skibbyltee (turryssee). Ta'n lheid jannoo assee da ny Celtiee ooilley. Ta shin cummal ayns cheeraghyn ta deiney mooarey yn Cho-vargey coontey y ve nyn jeeraghyn cour laghyn-seyrey nyn lomarcan. Ta mee goaill aggle dy bee eh feer ghoillee shin hene 'endeil noi lioaryn-sheck mannagh veesmayd abyl nyn dhalloo hene y ashoonaghey. Myr ta fys mie ec ny Manninee, stroshey argid na graih cheerey mastey ram jin. Aghterbee, ta mee jeant booiagh lesh treealtyssyn yn SNP: er lhiam pene dy re ashoonaghey-thallooin t'ayn, ga dy vel ad gobbal shen. Sonnys orroo.",
,
Brian y Stoyll,
