Manx,English
"Ta mee cur yn whail fo arree ayns ennym y Ree, nagh jaen peiagh-erbee troddan baggyrtys ny boirrainys. agh dy jean dy chooilley pheiagh freggyrt tra t’eh er nyn neam. Ta mee cur recortys er yn eanish dy vel y whail fo arree, &c., &c.”","“I put the court under orders in the name of the King, that no-one will scold, threaten or brawl, but that everyone will answer when he is called. I am testifying to a record that the court is under orders, &c., &c.”"
"Der y lioar irrin shoh, corp y kimmagh, jeh ny ren Jee dy ve ass jeh E  virryllyn ayns niau heose as er y Thalloo wass ayns shey laa as shiaght oieghyn dy jean shiuish ayns ferrinys, as nagh jean shiu folsagh er graih myskidys, caarjys ny cloanys, ny er oyr erbee elley; as dy jean shiush dy firrinagh cooilleeney oik Bing-vooar jeh Sheadin cordail rish Leigh ny çheerey as yn currym vees lhaih diu, de re shen myr cooney Jee, as y leigh ta ayns y lioar shen liereu.”  ","“By this truthful Book, the body of the criminal, that which God did of his goodness and wonders in Heaven above and the Earth below in six days and seven nights, that you shall do truly, and that ye shall not do falsely for love or malice, friendship or nepotism, nor any other cause ; and that ye shall truly fulfil all the office of the Great Inquest of  Sheading of according to the law of the land and the duty that shall be read to you, and by that may God help you and the law in this Book.”"
1.     Ta shiu dy phresental dy chooilley pheccagh t’er ghoaill loo dy aagail yn çheer as t’er çheet back fegooish kied.,1. You are to present every person that has sworn to leave the country and has come back without leave. 
2.     Ta shiu dy phresental dy chooilley vaarliagh t’er çhea veih kerraghey.,2. _ You shall present every thief who has fled from punishment. 
3.     Ta shiu dy phresental yn toshiaght-joarey as y guilley-glash mannagh vel ad cooilleeney nyn gurrym.,"3. You shall present the Coroner and Lockman, if they do not fulfil their duty. "
,
4.     Ta shiu dy phresental dy chooilley fer-kierdey nagh vel dellal dy onnoragh as dy jeeragh rish y theo.,4. You shall present every tradesman who does not deal honestly and uprightly with the public. 
,
5.     Ta shiu dy phresental dy chooilley pheiagh ta buinn moayn sy clieau nagh vel çhyndaa sheese yn foaid mullee lesh y çheu ghlass seose.,"5. You shall present every person who digs turf in the mountains, who does not turn down the top sod with the green side up. "
"6.     Ta shiu dy phresental dy chooilley pheccagh ta coyrt aile ayns moayn, freoagh ny conney er y clieau.","6. You shall present every person who sets fire to turf, ling, or gorse in the mountains. "
,
7.     Ta shiu dy phresental dy chooilley pheccagh ta jannoo daanys dy ghoaill stiagh ayrn erbee jeh’n chaitnys.,7. You shall present every person who makes so bold as to take in any part of the Commons. 
,
8.     Ta shiu dy phresental dy chooilley pheccagh ta lhiggey shaghey dy choyrt ny cleigh as giatt yn clieau ayns repair fondagh. ,8. You shall present every person who neglects to put the hedge and gate of the mountain into sufficient repair.
9.     Ta shiu dy phresental dy chooilley pheccagh ta lhiggey da ny muckyn oc shooyl mygeayrt fegooish oc ringit. ,9. You shall present every person who lets their pigs walk about without being ringed. 
,
"10.     Ta shiu dy phresental aasee erbee elley ta jeant da ny sleityn, grunt-pundailee, ny grunt y theo sy valley vargee. ","10. You shall present any other damage done to the mountains, the ground of the pinfold, or the ground of the public in the market towns. "
11.     Ta shiu dy phresental dy chooilley pheccagh ta marroo Gamman y Chiarn er y chaitnys ny ayns yn Eanin.,11. You shall present every person who kills the Lord's game on the commons or in the cliffs. 
,
"12.     Ta shiu dy phresental dy chooilley pheccagh ta marroo braddanyn ayns ny awinyn ayns tra  neu-lowal, ta shen dy ghra, lurg laa Sauiney dys Laa ny Breeshey.","12. You shall present every person who kills salmon in the rivers in unlawful  time—that is to say, after Hollintide day and St. Bride’s day. "
,
13.     Tha shiu dy phresental dy chooilley pheccagh ta freayl cabbil ny kirree screbbagh.,13. You shall present every person who keeps a horse or a sheep that is scabby. 
"14.     Ta shiu dy phresental dy chooilley pheccagh nagh vel freayl ny cagleeyn as ny giatyn ayns lhied y coamrey, as dy reayl y theo veih assee. ",14. You shall present every person who does not keep their boundaries and their gates in such a condition as to keep the public from injury. 
"15.     My ta’n pundail ass repair, ta shiu dy yannoo presental jeh as myrgeddyn, jeh’n pinnar mannagh vel eh cooilleeney e churrym.","15. If the pinfold is out of repair, you shall make a presentment of it, and also of the pinner if he does not fulfil his duty. "
"16.  Ta shiu dy phresental dy chooilley pheccagh ta coyrt lieen ayns awin, ny ushtey roie. ",16. You shall present every person that puts a net into any river or running water. 
17.  Ta shiu dy phresental dy chooilley wyllar nagh vel looit dy ghellal dy onneragh rish y theo as ny onneryn.,17. You shall present every miller who is not sworn to deal honestly with the public and the owners. 
,
18.  As ta shiu dy phresental dy chooilley assee elley ta noi leigh ny cheerey as foays y theo.,18. And you shall present every other injury which is against the law of the land and the good of the public.
