Manx,English,Notes
GOODY BLAKE AS HARRY GILL. ,GOODY BLAKE AND HARRY GILL. ,GOODY BLAKE AND HARRY GILL. 
"O cre ta’n oyr jeh, sleih my chree, ",Oh what’s the cause of it?,OH! what's the matter? what's the matter?
Cre shoh t’er jeet er Harry Gill? ,What is this that ails Harry Gill?,What is't that ails young Harry Gill?
"Dy vel e eeacklyn snaggeree, ","That his teeth chatter,","That evermore his teeth they chatter,"
Snaggeree e eeacklyn sthill.,Chatter his teeth still.,"Chatter, chatter, chatter still!"
"Son vestyn cha vel Harry feme, ","For waistcoats Harry needs not,","Of waistcoats Harry has no lack,"
Ny flannyn glass dy horçh erbee; ,"Or grey flannels of any sort,","Good duffle grey, and flannel fine;"
Ta lhuishag lhiabbagh er e ghreeym ,"He has a bed blanket on his back,","He has a blanket on his back,"
As cooatyn fit dy phlooghey nuy.,And coats fit to smother nine.,And coats enough to smother nine.
"Geurey as sourey, oie as laa, ","Winter and summer, night and day,","In March, December, and in July,"
"Te yn un chooid da Harry Gill, ",’Tis all the same with Harry Gill;,'Tis all the same with Harry Gill;                          
E nabooyn t’ad ooilley gra ,"His neighbours they all say,","The neighbours tell, and tell you truly,"
Dy vel e eeacklyn snaggeragh sthill. ,That his teeth chatter still.,"His teeth they chatter, chatter still."
Syn oie as moghrey as munlaa ,"In the night and morning and noon,","At night, at morning, and at noon,"
Te yn un chooid da Harry Gill; ,'Tis all the same with Harry Gill;,'Tis all the same with Harry Gill;
Ta grian as eayst yn un chooid da. ,The sun and the moon are all the same to him,"Beneath the sun, beneath the moon,"
She snaggeragh ta e eeacklyn sthill.,’Tis chattering is teeth are still.,"His teeth they chatter, chatter still!"
"She eirinagh va Harry roish shen, ","Harry was a farmer before then,","Young Harry was a lusty drover,"
"Agh grayse! Cre’n guilley lusty v’eh, ","But grace! What a lusty lad he was,",And who so stout of limb as he?
"Lesh lieckanyn cha jiarg as roseyn, ","With cheeks as red as roses,",His cheeks were red as ruddy clover;
As lesh coraa cha ard as three. ,And his voice as loud as three.,His voice was like the voice of three.                      
Shenn Ghoody Blake va ee boght as thanney ,Old Goody Blake was was poor and thin,Old Goody Blake was old and poor;
"Cha row eck bee ny eaddagh mie, ",She had no food or good clothing,"Ill fed she was, and thinly clad;"
"As shoh dooyrt sleih myr v’ad goll shaghey, ","And this is what people said as they went by,",And any man who passed her door
“Jeeagh cre’n mucklagh moal dy hie.”,“Look what a miserable pigsty of a house.”,Might see how poor a hut she had.
"Feiy-laa va ee snieu er slane y çhiaghtyn, ","All day she spun for the full week,",All day she spun in her poor dwelling:
As tammylt dy arrey-ny hoie [MS. “dy oirane ’syn oie.”,And a spell of the night watch [MS. ‘of hours at night’],"And then her three hours' work at night,"
"Agh moal yn faill v'ec yn ven voght shen, ","But how miserable the wage that that poor woman had,","Alas! 'twas hardly worth the telling,"
Cha ren eh geeck son cainlyn j’ee. ,It didn’t pay for candles for her.,It would not pay for candle-light.
Va’n ven shoh beaghey ayns kione-jiass Hostyn. ,This woman lived in the Southern End of England.,"Remote from sheltered village-green,"
"Yn thie eck heose ayns breast y clieu, ","Her house up in the breat of the mountain,","On a hill's northern side she dwelt,                        "
"Va geayl feer deyr roish row e roshtyn, ","Coal was really expensive before it was arriving,","Where from sea-blasts the hawthorns lean,"
Son ve çheet voish foddey voue.,For it was coming from far away from them.,And hoary dews are slow to melt.
Ny cheayrtyn jees dy henn vrasnaghey ,"Sometimes a couple of old agitators[1]
[1] vrasnaghey] though not found eslwehere as a noun, here is certainly is a noun (in dual case). The assumed meaning is ‘agitators / provokers, etc.’, based on the verb / adjective [brasnaghey] ‘provoking, urging, etc.’","By the same fire to boil their pottage,"
"Son nagh beagh ad ayns wheesh dy feme, ","So they wouldn’t be in so much need,","Two poor old Dames, as I have known,"
"’Syn un thie cooidjagh veagh ad beaghey, ","In the same house together they would live,",Will often live in one small cottage;
"Agh ish, ben voght, v’ayns thie ee hene. ","But she, a poor woman, was in her own house.","But she, poor Woman! housed alone."
"Ny yeih ’sy tourey veagh ee gennal, ","Yet in the summer she would be happy,","'Twas well enough when summer came,"
"Feer vie va'n traa shoh er e son, ","This time would be really good for her,","The long, warm, lightsome summer-day,"
