Manx,English
Veeishaght as Chengaghyn,
,
,"A showing of the video ""Aimsigh na Difriochtai"" by Nóirín Ní Nuadháin in Manchester recently highlighted the important role of games (and of video) in teaching languages."
,
"Ta sleih dy liooar gynsaghey Yernish cheumooie jeh Nerin y laa t'ayn jiu. Ta'n British Association of Irish Studies jannoo paart dy obbyr, agh ta sleih elley gobbraghey dy jeean neesht. Ta chaglym ny ghaa er ve reaghit er y gherrit ayns Manchuin ry hoi sleih ta reaghey brastyllyn Yernish ayns Sostyn. Va mish ee nane jeh ny chaglymyn shoh roish y Nollick ayns ynnyd Yernagh ayns Manchuin. Son y chooid smoo, va'n chaglym shoh ry hoi feddyn magh ny saaseyn ynsee as ymmyd jeant jeu ec Nóirín Ní Nuadháin, ben-ynsee Yernish voish Nerin.",
"Erskyn ooilley, va mee coontey y chaglym y ve foaysagh er yn oyr dy yeeagh Nóirín rybban chellveeishagh da lught y chaglym. Va'n tape shoh enmyssit ""Fow ny Anchaslyssyn"" as v'eh mychione aght symoil dy ynsaghey Yernish ayns scoillyn ayns Nerin. Ta fys ayd er yn aght dy vel y chooid smoo dy phaitchyn feer ghraihagh er ny gammanyn shen raad ta daa yalloo currit dhyt. Ta anchaslyssyn beggey eddyr y daa yalloo as t'eh ort feddyn ny anchaslyssyn shen - ta tree crammanyn er y chooat ayns un yalloo, agh ta kiare crammanyn sy jalloo elley as myr shen foast. Ta Nóirín coontey y gamman shoh y ve feer ymmydoil da paitchyn ta gynsaghey Yernish. T'ee rheynn y brastyl ayns cubbil: ayns gagh cubbyl, ta un paitchey geddyn jalloo A as ta'n paitchey elley geddyn jalloo B. Ayns yn ynnyd jeh un phaitchey jeeaghyn er jallooyn A as B ry cheilley, shegin da un phaitchey feddyn magh veih'n phaitchey kiare (abbyr) anchaslyssyn eddyr y daa yalloo. Cha nel paitchey A jeeaghyn er jalloo B, as cha nel paitchey B jeeaghyn er jalloo A. Y red smoo scanshoil ayns shoh, ta dy chooilley red grait ayns Yernish. As red elley ta scanshoil, t'eh jeeaghyn dy vel ny paitchyn goaill soylley jeh'n ""ghamman"".",
"Dy jarroo, va shoh yn bun jeh'n tape chellveeishagh shoh: cloie gammanyn sy chamyr-scoill. Ta fys mie aym dy vel y fassan shoh jeh cloie gammanyn sy chamyr-scoill er nyannoo assee ny keayrtyn (cha nod ny studeyryn fishag ain jannoo algebra nish, myr sampleyr!). Agh veih'n tape shoh, v'eh jeeaghyn dy row ny paitchyn goaill soylley mooar jeh ymmydey y Yernish v'ocsyn. As v'eh baghtal ry akin as ry chlashtyn dy row ny inneenyn ny share na ny guillyn sy vrastyl shoh.",
"As cha row 'Fow ny Anchaslyssyn' yn ynrican gamman va ry akin. Myr sampleyr, va ny paitchyn cloie bingo Gaelagh. Va form ec gagh paitchey as yn emshir chaie (past tense) jeh paart dy vreearyn (verbs) clouit ayns collooyn as roaghyn. Eisht lhaih y ven ynsee magh oardrailagh (imperative) as v'eh er ny paitchyn cowraghey yn emshir chaie chooie. Myr sampleyr, ""fow"" as ""hooar"". Er yn aght shoh, ta ny paitchyn cloie bingo ard-ynsit.",
"Son shickyrys, ta yn saaseyn ynsee shoh feer foaysagh choud's ta grammar as obbyr elley goll er cheu-heear jeu as ec yn un cheayrt. Er y tape shoh, cha row y ven-ynsee prowal dy chiartaghey y Yernish va ny paitchyn loayrt tra v'ad feddyn ny anchaslyssyn. Agh lurg y gamman, v'ee goll trooid cooishyn grammar haink ass y seshoon. Erskyn gagh red, she dellal eddyr sleih yn ard red. My ta shoh goll ayns chengey erbee, hig y chengey shen y ve ny stroshey. Mannagh vel, ta'n chengey shen ayns stayd moal.",
"Ga dy vel mee er goll er mysh ny gammanyn shoh, va mee goaill yindys reeshtagh jeh'n niart jeh veeishaght (video) as chellooish. Hooar mee coip jeh'n tape ""Fow ny Anchaslyssyn"" (lurg boirey dy liooar) as ren mee ymmyd jeh sy vrastyl Yernish aym ayns Lerpoyll y chiaghtyn elley. Ta'n brastyl cummit ayns scoill ayns boayl ta garroo dy liooar as shegin dou gra dy ghow mee yindys tra dooyrt y ven ta stiurey y scoill-oie dy beigns abyl jeeaghyn y tape da'n vrastyl. Beign dooin goll gys shamyr treigit ta dooint y chooid smoo jeh'n traa dy akin y tape, lesh y chooney jeh shenn ghreie. Va'n brastyl coontey ram jeh'n tape, ga dy nee bun-vrastyl t'ayn, v'ad abyl toiggal peeshyn mooarey jeh'n tape er y fa dy row ad jeeaghyn er ny reddyn va goll er. Va'n chooid smoo jeh'n vrastyl jeant bwooiagh dy row ad toiggal fockleyn dy liooar.",
"Goll rish ram reddyn elley (goaill stiagh yn traa dy yannoo yn obbyr), ta shin dy debejagh laccal veeishaght Ghailckagh. Cha nel mee credjal dy vod oo jannoo obbeeys lesh veeishaght (ta ram boghtynid ry clashtyn mysh shoh). Agh she stoo feer, feer vondeishagh t'ayn. Ta shin toiggal dy mie dy vel shin ayns feme jeh argid as cooney gerrymoil (tooilley argid) dy yannoo tapeyn chellveeishagh ry hoi gynsaghey Gailck. Ny scannaneyn Gailckagh va jeant ec Peter Maggs as Shorys y Creayrie, v'ad feer foaysagh. Nish ta shin laccal veeishaght neesht. Agh son y traa t'ayn fodmayd jannoo ymmyd mie jeh lioaryn, pabyr as gammanyn.",
,
,
Brian y Stoyll,
