Manx,English,Diplomatic
Ta’n ghrain houree soilshean dy çheh,"The summer sun is shining hot,",Ta’n ghrain houree soljean dy chea
As conney freoaie çheet reesht ayns blaa,And heather comes back into flower,As chonney fraie cheet ressht ayns blaa
Ta’n gheay wooar hene er gholl gys shee,The great wind itself has pacified,Ta’n ghey wooar hene er gholl gys shee
Ta’n imbagh aalin gerjagh mee,The beautiful season comforts me,Ta’n imbagh aalin gherjagh mee
Ta tonnyn freeynagh yn vooir mooar,The raging waves of the great sea,Ta thonyn freeanagh yn muir mooar
"Er duittym sheese nish, feagh dy liooar","Have fallen down now; calm enough,",Er duittym sheese nish feagh dy liooar
Dagh cronk as coan ayns coamrey glass,Every hill and valley in green clothing,Dagh cronk as coan ayns coamrey glass
Lesh lussreeyn ta çheet er-ash,With plants that are coming into season,Lesh loddryen ta cheet erash
Ta’n imbagh fouyr er jeet dy jeean,The autumnal season has come suddenly,Ta’n imbagh fouyr er jeet dy jeean
Ny magheryn geayney ta gaase creen,The vivid green fields that ripen,Ny maghryn gheiney ta gaase chreen
As labreeyn vees er ny laccal,And labourers will be required,As labreeyn vess er ny laal
Ny messyn sourey dy hauail,To save the summer fruit,Ny messyn sourey dy hauail
Agh bee yn geurey fluigh as feayr,But the winter will be wet and cold,Agh be yn geurey fluigh as feeayr
Çheet reesht ayns traa gerrid dy liooar;,Coming back soon enough;,Cheet reesht ayns tra gherryd dy lioor
Yn traa nagh voddym soie dy scrieu,The time when I cannot sit to write,Yn tra nagh vodym soie dy scrieu
Fo skell ny greiney er yn clieau,"Under the ray of the sun, on the mountain",Fo skell ny ghrainey er yn chlieu
Nagh vel ain coontey ayns yn Ghoo,"Do we not have a reckoning in the Word,",Nagh vel ain coontey ayns yn ghoo
Quoi ren dy chooilley nhee y chroo,"Which created everything,",Quoi ren dy chooilley nhee y chroo
Syn aer erskyn as er yn ooir,"In the sky above and on the Earth,",Sy’n aer erskin as er yn ooir
As cummal seose eh lesh e phooar,And upholds it with his power?,Aas commal seose as lesh y phooar
O cur dooin graase chouds ta shin bio,"O give us grace whilst we live,",O cur dooin graase chouds ta shin bio
Dy hirveish Oo ayns yn vea shoh,To serve You in this life,Dy herveish Oo ayns yn vea shoh
As lheein dagh annym lesh Dty ghraih,And fill every soul with Your love,As lhinn dagh annym lesh dy ghraih
Gys nee mayd cur my-ner Dty oaie,Until we behold your face,Gus nee mayd curmerner dy oie
"O Yee, ta liauyragh magh my vea","O God, who lengthens out my life",O Yee ta liuragh magh my vea
"Er coontey Chreest, jean mee livrey","On account of Christ, deliver me",Er coontey Chreest jean mee lhivrey
Er voish dagh loght as deyrey baaish,From every sin and mortal condemnation,Er voish dagh loght as deyrey baash
As saue my annym liorish graase,And save my soul through grace,As saue my annym liorish graase
,,
"July yn nah laa, ayns yn vlein hoght cheead yeig kiare feed as nuy jeig.","July the second, in the year eighteen hundred and ninety-nine.","July yn nah laa, ayns yn vlein hoght cheead yeig kiar feed as nee jeig"
Creneash. ,Cregneash.,Cregnaish
Screeuit Liorish Edward Faragher,Written By Edward Faragher,scrieut Liorish Edward Faragher
