Manx,English
Thooder as y Gearaltach.,
,
,"The outcome of the Anglo-Irish talks may well affect all the Celts, not just the Irish."
,
"Rish tammylt mooar nish, ta shin er chlashtyn dy jig reddyn mooarey ass ny co-loayrtyssyn eddyr Sostyn as Nerin mysh Twoaie Nerin. Agh er y gherrid, ta'n jeshaght-propaganda ayns Sostyn cur magh skeealyn nagh bee monney reddyn feeu cheet magh. Ta paart dy Hostnee (as Yernee) gra dy re er Cathal Ó hEochaidh (Charles Haughey) ta'n loght. Dooyrt Ó hEochaidh (as t'eh kiart, er lhiam) nagh beagh eh ayns foayr jeh coardailys erbee va baggyrt er kiondeeaght (sovereignty) ny hErin. Dy dooghyssagh, lurg shoh va Sostnee (as Yernee) ta noi seyrsnys ny h Erin gaccan mysh y pobblaghtagh keoi shen, Cathal Ó hEochaidh.",
"Er lhiam pene dy nhegin da ny Celtiee as ny Sostnee ve feer chiarailagh mysh y barganey shoh ta goll er eddyr Bnr Thooder as Gearoid Mac Gearailt (Garrett Fitz Gerald). Ta mee goaill aggle dy re crout mooar t'ayn. Dy firrinagh focklagh, ta sleih heet dy hoiggal dy vel ny Americanee cheu-heear jeh ram jeh ny cooishyn shoh. Paart dy vleeantyn er dy henney, oddagh oo gra paranoia rish y smooinaght shen. Agh nish .....",
"Nagh abbyr dy vel mee goll ass my cheeall gra shoh. Foddym geddyn cooney voish yn ashooneyr Sostnagh shen Enoch Powell. Cha nel mish ayns coardailys rish y dooinney shen dy mennick, agh ta Powell gra dy vel ny Americanee cheu-heear jeh reddyn ny smenkey as ny smenkey. Cooinee dy vel Powell er ngoll gys Nerin dy hauail nane jeh ny peeshyn s'jerree jeh'n impiraght. Ta Powell toiggal dy vel Sostyn laccal tannaghtyn ayns Twoaie Nerin kyndagh rish ashoonaghys Sostnagh - as yeearreeyn ny Americanee. By vie lesh ny Americanee gagh cheer ta sy Cho-vargey Europagh y ve ayns NATO neesht. Bee y Spaainey as y Phortiugal cheet stiagh sy Cho-vargey nish. Ec y traa cheddin, ta ny Americanee as nyn gaarjyn slane shickyr dy lhisagh ny cheeraghyn shen ve ayns NATO neesht.",
"T'ad credjal dy vel NATO as y Co-vargey yn un red. Agh ta ymmodee Spaainee as Portiugee ayns foayr jeh'n Cho-vargey as slane noi NATO. T'ou feddyn y red cheddin ayns Nerin. Ta ram sleih ayns shen noi NATO. T'eh jeeaghyn dy vel y chooid smoo dy 'leih sy Phobblaght foast ayns foayr jeh naeearaght (neutrality) ny cheerey. Shen y red ta Bnr Thooder, gobbyr marish Mac Gearailt, laccal geddyn rey rish, t'eh jeeaghyn. Ta ny Sostnee toiggal dy beagh ooilley Nerin cheumooie jeh NATO dy jinnagh ad faagail Nerin myr lhisagh ad jannoo. Dy jinnagh Sostyn faagail Nerin Twoaie nish, veagh caghlaaghyn mooarey cheet. S'cosoylagh dy beagh y clane cheer naeear ayns ynnyd y jiass ny lomarcan. As shoh red nagh vel ny Americanee ny y sharvaant oc, Bnr Thooder, laccal er chor erbee. ",
"Ga dy vel Nerin jeh beggan scansh myr cheer, er aght keoi ennagh ta ny Americanee coontey ee y ve scanshoil ayns caggey eddyr America as y Roosh. Myr shen, shegin da Nerin ooilley ve ayns NATO. Ta sleih dy liooar credjal nish dy re shoh yn ard-red cheu-heear jeh'n varganey eddyr Lunnin as Divlyn. Ta ny Sostnee lhiggey er dy vel ad er-chee cur beggan dy phooar da Divlyn ayns Nerin Twoaie as ta ny Unnaneyseyryn goll ass nyn geeall. Tra ta dy chooilley pheiagh (bunnys) jeeaghyn dy myn er y chaggey foalsey shoh, bee y barganey kiart jeant: nee ny Americanee cur millioonyn dy ghollaryn da Nerin choud's t'ee cheet stiagh ayns NATO. Eisht bee yn cashtal Europagh slane shickyr noi ny Rooshee agglagh shen.",
"Cha nel ny Rooshee nyn ainleyn. Agh ec y traa cheddin, cha nel ad goll rish jouyil. Chaill ad rour dy 'leih sy chaggey mooar s'jerree dy chur caggey mooar elley fo raad gyn smooinaghtyn dowin. Ec y traa t'ayn, ta ny smoo Europee cheet dy chredjal dy vel ny Americanee baggyrt er shee cho olk as ny Rooshee. As dy beagh caggey mooar ayn, cha beagh shinyn, ny Celtiee, boirit mysh nyn jeeraghyn as nyn jengaghyn arragh. Cha beagh red erbee faagit.",
"Foddee nagh vodmayd jannoo monney mysh ny cooishyn trimshagh shoh. Agh ec y chooid sloo, fodmayd shassoo noi eab erbee dy lhaggaghey seyrsnys ny hErin.",
,
Brian y Stoyll,
