Manx,English
Seyrsnys ny hAlbey - ny Veg.,
,
(Independence for Scotland - or Nothing),
,
,The collapse of the Westminster Devolution Bill has sharpened the political issues in Scotland. More people can now see why the annual conference of the SNP has decisively opted for full independence for Scotland.
,
"Ta fys ec dy chooilley pheiagh dy row yn Slattys ry-hoi Jee-veanaghey (Devolution) ceaut magh ayns Kiare as Feed Lunnin er y fa nagh vel ny Sostnee as nyn gaarjyn credjal ayn. Ansherbee, quoi ta geearree geddyn rey rish e chiartey hene? Dy jinnagh MP-yn Westminster reih pooar firrinagh y chur da Nalbin as da Bretin, veagh kuse jeu coayl nyn giartaghyn. Son shickyrys, cha nel monney Sostnee credjal dy vel Nalbin as Bretin nyn ashoonyn firrinagh. Yn ynrican red ta politickeyryn Hostyn goaill aggle roish, shen yn SNP. T'ad guee dy debejagh dy jed yn SNP ass shilley as dy jean ny h-ashooneyryn lheie ersooyl. My vees Sheshaght Obbree Hostyn foast ayns pooar, prowee Michael Foot reesht dy yannoo Slattys Jee-veanaghey elley breeoil, agh gyn ourys bee shoh fardailagh neesht. Ansherbee, s'cosoylagh dy vow Thoreeyn Hostyn yn varriaght sy vooar-reihys shoh cheet. Surrys enn dy vel yn Inneen-Yiarn hene, Bnr Thatcher, slane noi'n jee-veanaghey.",
"Kyndagh rish shoh, cha nhyrrys dy dooyrt Sheshaght Ashoonagh ny hAlbey dy vel ee noi'n jee-veanaghey as ayns foayr jeh seyrsnys kiart. Myr dooyrt Bnr Margo Mac Donald, cha neeu ve fuirraghtyn rish jee-veanaghey Westminster as cha neeu tannaghtyn lesh y status quo. Dooyrt ee nagh vel agh un red faagit: seyrsnys kiart. Mannagh row red ennagh jeant dy lheihys reiltys ny hAlbey, veagh sleih erskyn towse fegooish obbyr sy cheer. V'ee toiggal dy vel ymmodee Albinee goaill aggle vooar roish seyrsnys kiart. Agh veagh reddyn smessey foast taghyrt dy jinnagh Nalbin tannaghtyn marish Sostyn.",
"T'eh jeeaghyn dy vel Gordon Wilson, ren goll dys Ardscoill Ghoolish, ny mast-oc shid syn SNP ta dy jeean ayns foayr jeh seyrsnys kiart. Dooyrt eh dy vel yn Cheshaght Obbree ayns Nalbin yn cheshaght jeh'n traa hie shaghey. V'ee er choayl yn sleih aeg as er chur yn olk er shenn sleih. As va ny Thoreeyn scoltit dy bollagh kyndagh rish yn jee-veanaghey. Dooyrt Mnr Wilson dy jinnagh yn SNP cosney seyrsnys da Nalbin dy jinnagh ad goll er nyn doshiaght er y choorse kiart.",
"Myr shen, ta'n caggey politickagh ayns Nalbin er jeet dy ve ny smoo cronnal. Ta'n SNP shassoo dy baghtal son seyrsnys kiart. Ayns nyn greeaghyn, ta politickeyryn Lunnin goaill aggle roish y traa ry heet. Gyn ourys, shoh yn oyr ta ben-rein Hostyn as e dooinney er cheau traa foddey rouail fud ny hAlbey erreish jee v'er ghra dy row ee crooinit myr ben-rein jeh'n Reeriaght Unnaneyssit. Ta Lunnin jannoo ymmyd jeh'n jubilee shoh ry-hoi graih cheerey y niartaghey ayns Sostyn hene. As ta Lunnin treishteil dy jean shilley beg jeh ben-rein Hostyn niart yn SNP y lhaggaghey beggan, ga dy dooyrt yn SNP nagh vel ad noi'n ven-rein hene. Dy jarroo, bee yn mooar-reihys shoh cheet symoil dy liooar.",
,
Brian y Stoyll,
