Manx,English
Cadjiney ny Chengaghyn,
,
,It is advisable to attempt the standardisation of any language with sensitivity and understanding. This is particularly true for the Celtic languages.
,
"Shimmey arganys va currit fo raad ec chengaghyn as, dy jarroo, va caggey ny ghaa ayn kyndagh roo neesht. Eer cheusthie jeh un chengey ny lomarcan, ta arganeys dy liooar. Ayns Baarle, myr sampleyr, ga dy vel yn chengey er ve cadjinit (standardised) dy mooar, ta sleih ennagh bunnys aarloo sleih elley y varroo kyndagh rish cooishyn ennagh ayns Baarle. Ec y traa t'ayn, ta Sostnee resooney mysh Baarle Oikoil as ny fo-ghlaraghyn reeshtagh. Ga dy vel ny shenn fo ghlaraghyn Baarlagh moal dy liooar nish, ta foast jeelymyn faagit jeu. Myr sampleyr, ta niart sleih gra 'I were' ayns ynnyd 'I was' er y fa dy vel shen y red dooghyssagh daue, as ta 'I were' slane kiart sy fo-ghlare oc hene. Sy chooish shoh, ta drogh-ourys ec lught 'I were' dy vel reiltys Hostyn er chee marroo ad kyndagh rish y loght agglagh shoh.",
"Dy firrinagh, cha nel doilleeid erbee ec y chooid smoo dy 'leih er y fa dy vel ad daa-hengagh ec y chooid sloo. Tra t'ad marish yn feallagh oc hene, t'ad gra 'I were' as marish sleih 'ooasle' t'ad loayrt Baarle Oikoil. Er-lhiam nagh vel peiagh erbee gra nagh lhisagh paitchyn Hostyn gynsaghey Baarle Oikoil. Agh bee boirey mooar ayn my vees peiagh erbee ayns reiltys Hostyn gra nagh vod sleih loayrt yn fo-ghlare oc hene rish yn feallagh oc hene! Ansherbee, quoi vees freayll rick?",
"Ren ny Sostnee as ny Frangee cadjiney ny chengaghyn oc foddey er dy henney. Agh cha ren shoh taghyrt raad va chengaghyn goll er loayrt as yn sleih fo smaght sleih elley. Myr sampleyr, va Loghlynn fo smaght ny Danvargee sy cheead shoh chaie as va Loghlynnish cheet dy ve ny s'Danvargee gagh laa. Roish as lurg y traa hooar ny Loghlynnee nyn seyrsnys, v'ad streeu dy chur yn chengey oc hene er e hoshiaght. Agh cre'n ghlare? C'red va Loghlynnish Loghlynnagh? Va arganeys mooar eddyr ny Loghlynnee hene mychione shoh. Dy jarroo, ta'n arganeys foast goll er.",
"Er aght ennagh, ta'n boirey cheddin er ve jannoo er ny Celtiee ooilliu. Kyndagh rish ny Sostnee as ny Frangee cruinnaghey stiagh orroo, cha dod ny Bretnee, Yernee, Albinee as Britaanee croo chengaghyn va cadjinit dy 'dooghyssagh'. Ayns Nerin, myr sampleyr, roish my daink ny caggaghyn sy cheer dy ve cho agglagh, va sleih ynsit freayll arrey er chengey va goll er ymmydey son daanyn as cooishyn ynsit. Oddagh yn chengey shoh er jeet dy ve Yernish Oikoil, agh cha haghyr shen. Syn ynnyd jeh shen, va stoo mie screeut ayns fo-ghlaraghyn.",
"Gys yn laa t'ayn jiu, ta sleih lhiantyn rish yn fo-ghlare oc hene as gaccan mychione ny eabyn jeant ec Divlyn chengey chadjinit y chroo. Tra hooar paart jeh Nerin e seyrsnys, hug reiltys Divlyn y fo-ghlare veih'n jiass er e hoshiaght ayns ny scoillyn. Va lioaryn mie cheet ass yn ard shen (Keearee as Corkey), lioaryn goll rish 'Feed Blein Gaase' as 'Peig Sayers' as 'Yn Ellanagh'.",
"As va goo mie ec y fo-ghlare veih'n jiass roish my row ny lioaryn shen ayn. Agh lurg bleeantyn, ghow reiltys Divlyn toshiaght dy chur ny smoo geill da fo ghlare Chonnamarrey. Va ny earrooyn jeusyn as Yernish oc dy dooghyssagh er duittym ny smoo ayns y jiass na ayns Connamarrey na ayns Ullee (Doonagoal).",
