Manx,English,Diplomatic
Padjer ayns Gaelg: Choud’s T’ou Spaarail Mee er yn Ooir.,A Prayer in Manx: Whilst You Spare Me on the Earth.,Padjer ayns galg:
"Choud’s T’ou spaarail mee er yn ooir,","Whilst You spare me on the earth,",Chouds tow spaarraill mee er yn ooir
"Dy yannoo Dt’aigney cur dou pooar,","To do Your will, give me power,",Dy yannoo d’aigney cur daue pooar
"O Uss, ta Chiarn erskyn dagh nhee,","O Thee, who art Lord above every thing,",O uss ta Chiarn erskin dagh nhee
Jean glenney smooinaghtyn my chree.,Purify the thoughts of my heart.,Jean glenney smooinaghtyn my chree
,,
"Cha vel mee jeean dy yeeaghyn seose,","I am not diligent to look upward,",Cha vel mee jean dy yeeaghy seose
"Ny-yeigh jean cur yn bannaght neose,","Yet, send your blessing down,",Ny-yeigh jean cur yn bannaght neose
"Niee mee ayns fuill deyr Yeesey Chreest,","Wash me in Jesus Christ’s dear blood,",Nhiee mee ayns fuill deyr Yeesey Chreest
Nish ayns e vyghin as erreeish.,"Now, in his mercy and compassion.",Nish ayns sy vyghyn as erreeish
,,
"Gow ass my vree dagh nhee neughlen,","Take out of my essence every impure thing,",Gow as my vhree dagh nhee nughlen
"As cur dagh olkys magh ass shen,","And take every wickedness out of that,",As chur dagh olkys magh as shen
"Ta mee goaill rish my oiljyn Hiarn,","Yet, I accept my faults, O, Lord,",Ta mee ghoaill rish my oyljyn Hiarn
Ny-yeih trooid Chreest er gerrey tayrn.,"Through Christ, who draws near.",Ny-yeih trooid Chreest ergerrey tarn
,,
"Çheet nish trooid Chreest gys stoyl dy grayse,","Coming now, through Christ, to a throne of grace,",Cheet nish trooid Chreest gys stooal dy graase
"Ga dy vel mee fo deyrey baase,","Even though I am under deadly condemnation,",Gha dy vell me fo deyrey baase
"T’Eh nish ec Dty laue yesh ayns gloyr,","He  is now at Your right hand in glory,",Te nish eck dy laue yesh ayns gloyr
Agh er E ghraih jean cur dou foayr.,"But, for His love give me favour.",Agh er y ghraih jean cur dow fooar
,,Nagh vell e raayt ayn ghoo dy graase
"Nagh vel eh raait ayns yn Goo dy ghrayse,","Is it not said in the Word of grace,",
"Nagh vel ayd’s taitnys ayns my vaase,","You have not pleasure in my death,",Nagh vell ayds taitnys ayns my vaase
"O cur yn gooit dy chredjue dooys,","O, Give to me the gift of faith,",O cur yn gooit dy credjue dooys
Dy voddym shaghney Dty ymmoose.,That I may avoid Your wrath.,Dy voddym shaghney dy yimmoose
,,Er coointey oural dy Vac hene
"Er coontey oural Dty Vac hene,","On account of your own Son’s sacrifice,",Nish ghow yn whing dy feccah jee’m
"Nish gow yn whing dy pheccah jee’m,","Now take the yoke of sin off me,",
"Ayns oural Chreest ta my hreishteil,","My trust is in the sacrifice of Christ,",Ayns oural Chreest ta my chreeisteill 
Ta kinjagh son my annym prayal.,Who constantly prays for my soul.,Ta kinjagh son my annym preeayl
,,Clash rish yn uill ta pooaral loayrt
"Clasht rish yn uill ta pooaral loayrt,","Hear the blood that powerfully speaks,",As er y ghraih jean bannagh churt
"As er E ghraih jean bannaght choyrt,","And for his Love give a blessing,",Yn Spyrryd Noo dy reill my chree
"Yn Spyrryd Noo dy reill my chree,","The Holy Spirit to keep my heart,",
As jannoo mish my vac dy Yee.,And make me a son of God.,As jannoo mish my vac dy Yee
,,Dy chur dow tushtey cooie jee’d Hene
"Dy chur dou tushtey cooie jee’d Hene,","To gove me proper knowledge of Yourself,",As eiyragh mayrt ayns yn vea veeayn
"As eiraght mayrt ayns yn vea veayn,","And inheritence with you in eternal life,",Dy voddym aynyds ve ec fea
"Dy voddym Aynyd’s ve ec fea,","That I may be, within you, at peace,",As veih dy chooilley feccah chea
As veih dy chooilley pheccah çhea.,And flee from every sin.,
,,
"O Yeesey cur dou grayse as shee,","O, Jesus, give me grace and peace",O yeesey cur dow graase as shee
"As skeayl yn ghraih Ayd ayns my chree,",And spread Your love in my heart,As skeayl yn ghraih ayd ayns my chree
"Ta mish my pheccaghyn goaill rish,",I admit my sins,Ta mish my feccaghyn ghoaill rish
Agh er Dty oural folley nish.,But on your blood sacrifice now. ,Agh er dy oural folley nish
,,
