Manx,English
Deiney Keoi.,
,
,The affair of the Trawsfynydd experiments produced the expected battle-lines. It once again showed the unique power of nuclear matters to make officialdom economical with the truth.
,
 ,
"Tammylt er dy henney, lhaih shin skeealyn dy row yn CEGB (y Boayrd Lectraghys Goaldagh) kiarail jannoo prowaltys er y frasseeagh chesh-veanagh (nuclear reactor) ec Trawsfynydd ayns twoaie Vretin. Coardail rish ny skeealyn shoh, va jeshaghteyryn Trawsfynydd son dooney y frasseeagh as eisht scuirr ny feayraganyn (fans) ta pumpal gas harrish y conney cheh ayns cree y frasseeagh. T'eh jeeaghyn dy row ad geearree feddyn magh row ad abyl jannoo fegooish y gas feayree dy jinnagh drogh-haghyrt cur orroo dooney sheese y stashoon dy doaltattym.",
"Shegin dou gra nagh dod mee credjal ny skeealyn shoh sy toshiaght. Y gas shoh ta goll er pumpal harrish y conney (yn urraaniu), t'eh ymmyrchagh er dy chooilley chor. Cha nod y frasseeagh jannoo n'egooish. Ta'n chiass mooar jeh cree y frasseeagh goll er ymmyrkey magh ec y ghas: ta'n gas cheh chiow ushtey dy yannoo gaal, as ta ymmyd jeant jeh'n ghaal dy ghiennaghtyn lectraghys. Myr shen, cha nee red-coonee y gas-feayree shoh: she red slane ymmyrchagh t'ayn. Tra va chellooish BBC loayrt mysh prowaltys Trawsfynydd, va reddyn oc goll rish ''ta ny feayraganyn sheidey gas dy meeley harrish y conney urraaniu'' as v'ad lhiggey er dy vel oo abyl jannoo fegooish ny feayraganyn. Shen boghtynid ommidjagh. Ta'n gas goll er pumpal feer lajer dy jarroo - cho lajer as dy vel eh jannoo assee da ny slattyn-conney, ta craa mygeayrt sy strooan niartal. Mannagh vel y strooan niartal shen ayn, gow kiarail!",
"Cha nod stashoon chesh-veanagh ve dooint sheese ny mooghit dy chelleeragh. Tra ta frasseeagh ''mooghit'', ta cree y frasseeagh cur magh chiass mooar son ooryn as ooryn. Kyndagh rish shen, shegin strooan-feayree ve ayn. Mannagh vel, foddee dy bee y conney lheit as foddee dy bee aile sy tempreilagh graphite (graphite moderator). Ayns y drogh haghyrt ec Chernobyl, va'n chooid smoo jeh'n assee jeant ec yn aile sy tempreilagh.",
"Dy dooghyssagh, cha row y CEGB er ghra veg mysh y phrowaltys shoh. T'eh jeeaghyn dy loayr jeshaghteyryn ec Trawsfynydd rish ny pabyryn-naight as shen yn aght va fys ain. Va ny jeshaghteyryn shoh boirit mysh y phrowaltys as lhisagh shin ve bwooisal daue son loayrt er ard. Ren ad red dunnal, er y fa dy vel peiagh ny ghaa er ve ceaut magh ass nyn obbyr ec y CECB son shassoo noi pooar chesh-veanagh. Ta'n lheid cheet dy ve cadjin ayns Cheer y Thooder nish. Agh eer roish Lhing y Thooder, va'n folliaght dy bollagh kianlt seose lesh cooishyn chesh-veanagh. Cha jean pooar chesh-veanagh dy bragh scapail veih'n jishag olk echey, ta shen dy ghra, y Bleaystan. Tra t'ou gobbraghey lesh pooar chesh-veanagh, t'ou gobbraghey marish y Dr Strangelove.",
"Screeu mee rish yn MP aym, gaccan dy lajer mysh y phrowaltys. Ta'n MP shoh coontey dy row Genghis Khan ny ghooinney dendeysagh, agh hooar mee freggyrt cooyrtoil ren soilshaghey magh dy vel yn MP ayns foayr jeh gagh red chesh-veanagh, prowaltyssyn keoi as ooilliu. Va’n MP shickyr dy row lught y CEGB er smooinaghtyn dy dowin as dy kiarailagh er y chooish. Row feanish erbee aym nagh row? As, aghterbee, va lheid y phrowaltys shoh jeant oc daa cheayrt hannah! Dreggyr mee dy row mish slane shickyr neesht dy row y CEGB er smooinaght dy dowin er y chooish. Agh oddagh oo gra yn un red mysh yn aile ec Windscale jeih bleeaney as feed er dy henney. As quoi va er chur kied da'n CEGB dy yannoo ny prowaltyssyn shoh?",
"Ta mee bwooiagh dy chlashtyn dy vel y prowaltys er ve scuirrit - son y traa t'ayn. Agh cha nod oo credjal veg ayns ny cooishyn shoh. Ta dy chooilley reiltys cliaghtey ginsh breagyn mysh chesh-veanaght. Ny smessey na shen, ta'n chooid smoo jeh ny pabyryn, radio as chellooish ",
"sy Ghoal fo smaght reiltys y Thooder. Y dooinney ta stiurey chellooish BBC ayns Bretin, t'eh cur graih erskyn towse jee. Cha row lught BBC Bretnagh lowit dy imraa y musthaa mysh Trawsfynydd. Beign da ny Bretnee croghey er ITV as Sianel Pedwar son yn 'irriney. Dooyrt y BBC dy row y prowaltys er ve scuirrit ec ""noiys ynnydagh"". Cha d'imraa ad noiys reiltys Vannin, reiltys Nerin, as noiys voish ram sleih elley. Sy skeeal cheddin, dooyrt ad dy vel Trawsfynydd ''er slyst varrey Vretin'' (t'eh ayns ny sleityn). Agh shen yn aght.",
,
Brian y Stoyll,
