Manx,English
Jean yn SNP Couyral?,
,Hamilton By-Election
,The SNP has suffered disappointment through not winning the Garscadden and Hamilton by-elections. But it is far too early to write off the SNP.
,
Nagh mooar ta'n caghlaa ta er jeet er yn SNP er y gherrit. Paart dy veeghyn er dy henney va'n cheshaght pholitickagh shoh lane dy vree as dy hreisht. V'ee gaarlaghey da seyrsnys ny hAlbey lesh boggey as daanys. Agh nish ta reddyn er chaghlaa. Ta mee shickyr nagh vel yn SNP cho trimshagh as brisht as ta ny pabyryn Sostnagh gra. Agh son shickyrys ta'n SNP heese ec y traa t'ayn.,
Va'n chooid smoo dy leih sheiltyn dy voghe yn SNP yn varriaght er yn Cheshaght-Obbree ayns Garscadden. As va dy chooilley pheiagh (bunnys) shickyr dy voghe Margo Mac Donald yn varriaght sy fo-reihys ayns Hamilton. Agh hooar yn Cheshaght-Obbree yn varriaght ayns gagh fo-reihys. Cre'n fa? Veagh eh symoil bun ny cooishyn shoh y 'eddyn magh er y fa dy nee cooishyn feer hymoil t'ayn.,
"Foddee dy row yn SNP goll sheese y liargagh hannah, agh s'cosoylagh dy dreill yn Cheshaght-Obbree yn daa hoieag shoh er y fa dy row Albinee dy liooar goaill aggle roish seyrsnys nyn jeer hene. Ec y traa cheddin, foddee nagh row ny voteyryn coontey yn brock ayns Lunnin y ve cho olk as oddagh eh ve. Son shickyrys, ren fer ny Sheshaght Obbree ayns Garscadden red croutagh traa hoie eh er yn SNP myr sheshaght ta geearree scoltey Nalbin dy bollagh voish ny cheeraghyn elley sy Reeriaght Unnaneyssit. Surrys enn dy vel ymmodee Albinee geearree geddyn reiltys dauesyn hene, as hoig ny sheshaghtyn politickagh ayns Sostyn yn chooish shoh fy yerrey hoal wass. Ec y traa cheddin, hoig ny Sostnee as nyn gumraagyn Albinagh, dy vel Albinee dy liooar goaill aggle atchimagh roish seyrsnys kiart. Ta lught ny Sheshaght-Obbree gra shoh car y traa nish. T'ad gra dy vel yn SNP geearree brishey Nalbin ayns eab keoi ee y scoltey dy bollagh voish Sostyn as Bretin. T'eh feer ghoillee dy hoilshaghey magh y chooish shoh da sleih ta laccal freggyrt tappee as aashagh.",
"Myr shen, t'eh jeeaghyn dy vel Albinee dy liooar er a ve agglit ass kyndagh rish mian yn SNP Nalbin y ve seyr dy kiart sy jerrey.",
"Ny yeih shen as ooilley, cha ren Margo MacDonald ro olk ayns fo-reihys Hamilton. Hooar ee ny smoo na daa housane vote jeig: hooar ee bunnys hoght thousane vote ny smoo na ny Thoreeyn. Cha nel yn SNP brisht foast.",
"Ta sleih ennagh syn SNP gra nish nagh lhisagh yn cheshaght er hirrey pooar ayns reiltys ynnydagh. Lhisagh yn SNP er dannaghtyn erskyn lheid ny reddyn shen, t'ad gra. S'feer dy vel yn SNP er hollaghey e laueyn ayns reiltys ynnydagh ayns baljyn ennagh.",
"Ga dy vel yn SNP ayns stayd lhag ec y traa t'ayn, ta Lunnin foast goaill aggle roish. As eer dy jinnagh yn SNP lheie ersooyl mairagh, t'eh er chaghlaa yn pholitickaght Ghoaldagh dy bollagh.",
,
Brian y Stoyll,
