Manx,English
Y Mee-unnaneys Oarpagh,
,
"Ayns Cam earroo 129, va art lajer guee er sleih dy votal (my va lheid y vote oc) noi'n vunraght va sleih pooaral ennagh kiarail cur bree da son yn Unnaneys Oarpagh. Mastey reddyn elley, va'n art gra dy row yn vunraght treealit shen ayns foayr jeh impiroilaghys, laissez-faire, preevaadjaghey shirveishyn theayagh, meanaghey yn Unnaneys ny smoo, goaill pooaraghyn elley veih ard-whaiyllyn ashoonagh, lowal da ard-pholitickeyryn caghlaa yn vunraght myr bailliu, as jannoo neunhee jeh cheeraghyn beggey yn Unnaneys. Red slane deynlagh, dy jarroo.",
"Neayr's va'n art shen currit magh, ta sleih ayns y Cheer Injil as ayns y Rank er votal dy lajer noi'n vunraght. Ayns ny cheeraghyn shen, ga dy row yn sleih niartal as bunnys ooilley ny pabyryn-naight as ny stashoonyn radio as chellveeish guee er y theay dy votal son y vunraght, ren y theay votal noi eck lesh tromlagh mooar ayns y daa heer. Va'n chooid smoo jeh ny fir-toshee sy Cheer Injil as y Rank gra dy beagh eh goll rish jerrey yn teihll dy jinnagh sleih votal noi'n vunraght ayns ny refraneyn. Cha ren ny padjeryn jeh ny lughtyn-reill caghlaa aignaghyn erbee. Ayns daa heer hug y Covargey er bun, ren ny lughtyn-reill coayl. Gyn ourys, shimmey oyr ren ad coayl. Ayns y daa heer, va ny voteyryn skee jeh ny reiltyssyn oc. T'eh jeeaghyn dy vel voteyryn sy Cheer Injil smooinaghtyn dy vel ad cur rouyr argid da'n Unnaneys. Va ny Frangee laccal freayll yn argid ry hoi pohlldal eirinys Frangagh, as cha row ad laccal shirveishyn theayagh dy gholl er preevaadjaghey. Ayns gagh cheer, va drogh ourys ec sleih mychione tooilley sleih cheet dy chummal ayns ny cheeraghyn oc. Tra va ny refraneyn caillt, v'eh anaasagh dy chlashtyn ny dooyrt fir veih y lughtyn-reill sy daa heer. V'ad soilshaghey nagh row ad toiggal deynlaght ro vie: 'Ta'n pobble er nyannoo marran - reaghmayd refranenyn elley as inshmayd daue dy votal dy kiart y keayrt shoh..'",
"Bentyn rish ny Celtiee. ere hig ass ny taghyrtyn shoh? She Mannin yn ynrican cheer Cheltiagh nagh vel syn Unnaneys Oarpagh. Agh ta Mannin fo ordaag ny Sostynee son cooishyn eddyrashoonagh, as dy firrinagh cha nel Mannin cheu-mooie ny cheu-sthie jeh'n Unnaneys Oarpagh (stayd feer Vanninagh). Ga dy vel eh jeeaghyn dy vel paart dy pholitickeyryn Manninagh geddyn ny barelyn oc veih Daily Mail Hostyn, ta beggan dy voirey ayns Mannin dy row yn vunraght ceaut magh (t'eh jeeaghyn) er y fa dy beagh staydys Vannin er ve reaghit reesht sy vunraght shen. Vel reddyn heose syn aer nish bentyn rish staydys Vannin? S'doillee gra ere haghyrys nish bentyn rish cooish erbee ta'n Unnaneys Oarpagh dellal rish.",
"Bee sleih dy liooar ayns Nerin feer wooiagh dy vel eh jeeaghyn dy vel y vunraght marroo. Hannah, cha bee Nerin geddyn cho wheesh d'argid veih'n Unnaneys lurg da cheeraghyn elley cheet stiagh ayn. Agh nish, ta stayd noa ayn, er yn oyr nagh vel eh liklee dy bee ram cheeraghyn noa cheet dy ve nyn olteynyn jeh'n Unnaneys. As kyndagh ish ny votyn jiooldagh, ta'n troddan son ard-steat Oarpagh jeant smoo faase. Myr shen, son y traa t'ayn, cha bee treealtys son armee Oarpagh as y lheid geddyn monney geill -shimmey Yernagh nagh vel geearree cooney lesh impiroilaghys kyndagh rish shennaghys Nerin.",
"Gyn ourys erbee, hug Tony Blair booise da Jee tra vote ny Frangee noi'n vunraght. Er aght ennagh, va laue yn eaghtyr echey er Chirac, yn eaghtyrane Frangagh. Lurg ram arganys tammylt er dy henney, choard Blair dy beagh refrane sy Reeriaght Unnaneyssit mychione y vunraght Oarpagh. Eisht dooyrt Chirac dy beagh refrane sy Rank. Bee eh trimshagh ass towse dy dooyrt eh shen. Foddee dy noddagh eh er chur er yn ard-whaiyl Rangagh dy votal son y refrane fegooish refrane erbee, goll rish ny Germaane. Veih'n toshiaght, ta ourys mooar er ve er ny Sostnee mychione y chalee Oarpagh - joarreeyn aitt loayrt eddyr oc hene mychione cooishyn bolvaneagh ayns 'Europe' - car y traa ta ny Sostnee (as sleih elley) smooinaghtyn nagh vel ny h-ellanyn shoh ayns yn Oarpey. Dy dooghyssagh, t'ad booiagh dy liooar dy ghra 'Y Vretyn' ny 'Y Vretyn Vooar' as eer 'Sostyn' rish ny h-ellanyn shoh myr unnid, agh cha nel ad goaill rish y feerid dy vel shin ooilley ayns yn Oarpey. Y boirey t'ayn, shen dy vel 'Yn Oarpey' er jeet dy ve ny ennym politickagh syn ynnyd jeh ennym ayns cheeroaylleeaght.",
"Rish keeadyn dy vleeantyn, t'eh er ve myr polasee ec fir-reill Hostyn dy hickyraghey dy row ny h-Albinee, Bretnee, Cornee, Manninee as Yernee fo'n smaght oc as scarrit rish sleih gaueagh ayns y cheer vooar Oarpagh. Phrow ny Spaainee as ny Frangee dy chooney lesh ny h-Albinee as ny Yernee, as foddee dy row eer ny Manninee arrymagh ro arryltagh dy chionnaghey stoo veih ny Frangee sy hoghtoo eash jeig. Ta tradishoon liauyr ec ny Sostnee as drogh ourys oc er joarreeyn agglagh ayns y cheer vooar Oarpagh - as shimmey Celtiagh ellanagh ta smooinaghtyn er yn aght cheddin. Myr shen, tra va ny refraneyn shen caillt, cha row monney Sostnee keayney.",
"Ta'n gaue smoo nish dy jean Tony Blair cleayney sleih ayns cheeraghyn y cheer vooar d'eiyrt er 'y trass aght' echey. She cloider croutagh y fer shen oddys jannoo cluic er sleih lesh gialdynys foalsey as goan brynnagh. Va'n schlei echey ry akin ayns ard-whaiyl yn Oarpey tra loayrt eh ayns shen gerrid lurg ny refraneyn shen. Kionfenish, va ymmodee politickeyryn voish cheeraghyn anchasley va slane noi Blair. By vie lesh kuse jeu eh y varroo. Cre haghyr? Loayr eh er aght glick as shliawin. Deaisht ad rish dy h-arrymagh son y chooid smoo as woaill ad ny bassyn oc. Ram jeh ny politickeyryn shen, bee ad toiggal dy vel 'y trass aght' yn un red as preevaadjaghey dy chooilley red, son y chooid smoo. Ec y traa t'ayn ayns Sostyn, ta scammylt lurg scammylt cheet rish, bentyn rish preevaadjaghey reddyn, goaill stiagh scoillyn as thieyn-lheihys as traenyn. Oddagh oo gra dy vel delleyderyn geid millioonyn dy phunt veih ny h-eeckeyderyn-keesh Goaldagh gagh shiaghtin. Ta lught Blair gymmydey yn fockle 'jeianaghey' ('modernisation') dy mennick. Shen y coad oc son preevaadjaghey.",
"Shimmey art t'ayns pabyryn-naight Hostyn ta guee mollaght er ny 'Frangee litcheragh'. T'ad coontit dy ve litcheragh er y fa nagh vel ad laccal dy chooilley nhee dy ve jeant preevaadjagh, coardail rish saraghyn veih America as lught-dellal. Fodmayd guee mollaght er Staillin son cur drogh ghoo da soshiallys. Neayr’s v'eh grait dy row soshiallys marroo ta sorch dy Staillinys burgaishagh er jeet rish: shegin dooin lhiggey er dy vel dy chooilley nhee ny cholught dellal. Ayns Sostyn nish t'ad loayrt mychione thieyn-lheihys theayagh as ad 'coayl argid'. Feiy ny cruinney nish, ta lught yn argid (as sleih elley) gra nagh vodmayd fordrail y steat-lhiasee (welfare state). Agh shen yn Oarpey ren croo yn steat-lhiasee as cha nhegin dooin ceau ersooyl eh myr red brisht. She red onnoroil t'ayn. As t'eh anaasagh nagh Blair as e phossan goaill ymmyd jeh'n ockle 'soshiallys' - red voish Eash ny Claghyn, gyn ourys.",
