Manx,English,Notes
"ER ROIE SHEESE YN LUGGER OLIVE[1],",ON THE RUNNING DOWN OF THE LUGGER OLIVE BY THE SHIP OAKWORTH,"[1] A ‘lugger’ is a sailship with ‘lug’ sails - sloping top spars that were an improvement on square sails. It seems that fast moving steamships were a constant hazard for sailships in the 1870s. Olive was an unlucky name for a lugger. In the Spring of 1873 a lugger ‘Olive’ from Peel was run down by steamer off Kinsale, but the crew were all safely picked up by the steamer crew and made their way home via Liverpool on a Steam Packet Ferry. 
     In March 1874, the crew of her namesake from Port St Mary were not so lucky. This ‘Olive’ was also run down off Kinsale, but Captain Edgar of the steamship Oakworth en route from Glasgow to Melbourne, declined to stop and help the crew, who all drowned. His behaviour was reported to Steam Navigation Board of Australia by members of the crew and separately by a passenger. Witness statements were taken that confirmed that the fishing vessel’s lights had been seen by the look-out, but Edgar had not changed course. After running down the Olive the cries of the crew were heard, and sea conditions were such that a rescue attempt would have been quite possible, but that the Captain had instructed his crew not to attempt a rescue, but to stay on their course. The inquiry found Edgar guilty and his Master’s certificate was cancelled. A Manxman, William Gale, living in Australia sent a copy of the Australasian newspaper with details of the enquiry to the Mona’s Herald, which published the news on September 26th,  1874. "
"My gheiney cheery gow jee tastey vie, ","My country men take good heed, ",
Choud’s veem cur coontey jeh’n drogh ghellal hreih. ,"Whilst I relate this melancholy deed,",
"Ta gys nyn greechyn [creeaghyn] reesht cur lesh angaish, ","Which in all feeling hearts fresh pangs create, ",
Clashtyn jeh’n Olive as ny skeeallyn baaish. ,To hear the Olive’s sad and mournful fate.,
"’Cheid laa as feed jeh’n vayrt ec brishey’n laa,","On March the twenty-first, at dawn of day,",
Yn luggar Olive roish yn enniagh va; ,The lugger Olive by her nets did lay;,
E[2] soilshey sollys myr rollage soilshean ,"Her light was burning like a meteor star,","[2] E] ‘Her’, original gives [Y]."
"Erskyn ny tonnyn, r’akin foddey’s lhean ; ",And could be seen across the billows far.,
"Er vullagh-ching yn soilshey ass ren lheie, ","But suddenly her bright light disappear’d,",
As cha rou arragh monney coontey j’ee ; ,And until lately nothing more was heard ; ,
"Gys haink ny niaghtyn trome mychione y chragh, ","But now the truth at last has been found out,",
As eisht ayns firrinys ve feddynit magh. ,"And we can now believe without a doubt,",
"Nagh bee ad arragh r’akin er yn ooir, ","That her poor crew shall never more be found,",
Gys hig ad seose ec laa yn’irree vooar : ,"Until the last loud judgment trumpet’s sound,",
"She lhong vooar Hastnagh, Oakworth jir ad r'ee, ","An English ship, the Oakworth was her name,",
As e[3] drogh Chaptan va’n oyr trimshey chree ; ,And her base captain caused this grief and pain;,"[3] e] ‘her’, original gives [y]."
"V’ee goll son Melbourne cheet voish Glasgow neese, ","She came from Glasgow, and was outward bound, ",
As roie ee n’Olive as hoght deiney sheese. ,"And ran the Olive, with eight seamen, down.",
