Manx,English
Ny h-Americanee as Ullee.,
,
," It is well known that American interest in the situation in north-eastern Ireland is not unconnected with forthcoming elections in the USA. However, it would be a mistake to be entirely cynical about all such pronouncements by American politicians."
,
"Tra haink Carter y ve eaghtyrane ny Steatyn Unnaneyssit, va skeeal goll mygeayrt dy row eh feer voirit mychione y chaggey ayns ""Ullee"" as dy beagh eh goaill ymmyd jeh niart Americanagh dy 'eaysley yn caggey shen. Agh derrey nish, cha nel shin er chlashtyn monney mychione ny h-Americanee as Nerin - er-lhimmey jeh raaghyn nish as reesht veih Americanee - Yernagh myr Edward Kennedy as Tip Ó Neill, yn Loayreyder jeh Thie ny Chaghteryn ayns Washington.",
"Agh nish ta Tip Ó Neill er chur shilley er Beeal Feirshtey as t'eh er ve gaccan dy vel politickeyryn Goaldagh goaill ymmyd jeh ""Ullee"" myr bluckan coshey politickagh. Kyndagh rish goan Ó Neill, ta ram politickeyryn Goaldagh er ngoll ass nyn geeal, guee mollaght er yn Americanagh lunagh shoh ta cur eie er ""cooishyn Goaldagh."" Va Bnr Thatcher, yn Chiarn Hailsham, Shirley Williams as Stan Orme ny-mast'oc shen ren gaccan mychione Tip Ó Neill.",
"Shione dooin ooilley dy vel ny h-Americanee hene goaill ymmyd jeh ""Ullee"" myr bluckan-coshey politickagh. Ta fys ec y teihll dy vel Tip Ó Neill nane jeh caarjyn mooarey Edward Kennedy, dooinney vees geearree goaill yn eaghtyraneys veih Carter, foddee. As shione dooin dy vel voteyn ny Americanee - Yernagh feer scanshoil.",
"Ny-yeih shen as ooilley, cha lhisagh ny Yernee as nyn gaarjyn soiaghey beg jeh sym Americanagh ayns cooishyn Yernagh.",
"Ta ny Goaldee prowal dy debejagh dy lhiggey er dy vel ny reddyn ta goll er ayns twoaie ny hErin fo'n smaght oc. Ta'n propaganda Goaldagh gra dy vel daa phossan dy Yernee caggey ry-cheilley kyndagh rish cooishyn credjue. My ta red erbee taghyrt ta soilshaghey magh dy vel ny Goaldee ginsh breagyn, eisht ta ny Goaldee cheet dy ve feer chorree as imneagh.",
"Hoilshee yn skeeal Bennett magh dy vel ny Goaldee as nyn gaarjyn soie er Yernee ayns twoaie ny hErin ayns aght barbaragh. Ta ny Goaldee foast lhiggey er dy nee ""propaganda pobblaghtagh"" ny skeealyn mychione sleih ta fo ourys goll er custey ec ny meoiryn-shee as sidooryn Goaldagh. Gyn ourys ta propaganda ny Shallidee mie dy liooar, agh ta ny Goaldee hene er ghra dy hoikoil dy vel y lheid taghyrt. S'treih lhiam gra eh, agh ta mish credjal dy vel ram Goaldee (Sostnee as Celtiee) smooinaghtyn dy lhisagh Yernee goll er smaghtaghey er y fa dy nee Yernee ad! Cha jean reiltys Goaldagh cur monney geill ec y traa t'ayn da red erbee ta taghyrt ayns ny hellanyn shoh bentyn rish y chaggey ayns Nerin. Agh my ta Americanee ny Germaanee ny Frangee gra red ennagh mychione Nerin, shen cooish elley. Lhisagh ny Yernee (as sleih elley) ve bwooisal tra ta deiney goll rish Tip Ó Neill gaccan mychione tranlaase Goaldagh ayns Nerin. Red erbee ta leodaghey yn tranlaase shen, t'eh foaysagh.",
Gyn ourys ta Ó Neill geearree cooney lesh Kennedy dy heet dy ve yn Eaghtyrane Americanagh. Agh ec y traa cheddin t'eh jeeaghyn dy row fys ec Carter dy row Ó Neill er-chee gaccan mychione foalsaght Goaldagh ayns Nerin. S'doillee y ve gaccan mychione tranlaase sy Roosh tra nagh kiartyssyn undinagh ry gheddyn ayns Nerin.,
,
Brian Mac Stoyll,
